"stem","words"
"excit","excitability, excitation"
"promot","promote, promotes, promoting"
"toler","tolerance"
"postur","posture"
"dysregul","dysregulated, dysregulation"
"stereotyp",""
"claustrum","claustrum"
"desynchron",""
"dorso","dorso"
"asymptomat","asymptomatic"
"disabl","disability"
"enrol","enrolled"
"submit","submitted"
"configur","configuration, configurations"
"dramat","dramatic, dramatically"
"feedforward","feedforward"
"loc","loc"
"scene","scene, scenes"
"suboptim","suboptimal"
"innat","innate"
"versa","versa"
"vice","vice"
"binocular",""
"profession","professional"
"acupoint","acupoint"
"acupunctur","acupuncture"
"bladder","bladder"
"placebo","placebo"
"ascertain","ascertain"
"bridg","bridge"
"herit","heritable"
"math","math"
"retard",""
"inner","inner"
"exponenti",""
"piec","piece, pieces"
"imit","imitate, imitated, imitation, imitative"
"permit","permits, permitted"
"ppc","ppc"
"electroencephalograph","electroencephalographic"
"vertex","vertex"
"depict","depicted, depicting"
"fewer","fewer"
"viewer",""
"forearm","forearm"
"realist","realistic"
"frontolimb","frontolimbic"
"habitu","habitual, habituation"
"phobic","phobic, phobics"
"pressur","pressure"
"interrupt","interruption"
"cooper","cooperate, cooperation, cooperative"
"dilemma","dilemma"
"evolv","evolved"
"game","game, games"
"iter",""
"mutual","mutual, mutually"
"reciproc","reciprocal"
"delta","delta"
"hamilton","hamilton"
"disgust","disgust, disgusting"
"exagger","exaggerated"
"treat","treat, treated, treating"
"air","air"
"cold","cold"
"react","react"
"effector","effector, effectors"
"priori","priori"
"rts","rts"
"thalami","thalami"
"ubiquit","ubiquitous"
"complic","complicated"
"medulla","medulla"
"odor","odor, odors"
"piriform","piriform"
"pon","pons"
"smell",""
"trigemin","trigeminal"
"caution","caution"
"custom",""
"deform","deformation"
"templat","template, templates"
"dataset","dataset, datasets"
"heart","heart"
"cord","cord"
"diabet","diabetes"
"hospit",""
"inclus","inclusion"
"inflammatori","inflammatory"
"respiratori","respiratory"
"spinal","spinal"
"cns","cns"
"compensatori","compensatory"
"congenit","congenital, congenitally"
"periventricular","periventricular"
"possess",""
"incompat","incompatible"
"melodi","melodies, melody"
"peri","peri"
"prosod","prosodic"
"crus","crus"
"thick","thickness"
"eba","eba"
"ofa","ofa"
"unusu","unusual"
"vibrotactil","vibrotactile"
"clue","clues"
"distal","distal"
"palm",""
"radiat","radiation"
"mere","mere, merely"
"neuro","neuro"
"green","green"
"nonmotor",""
"likelihood","likelihood"
"binaur",""
"channel","channel, channels"
"deviant","deviant"
"electroencephalographi","electroencephalography"
"electromagnet","electromagnetic"
"loreta","loreta"
"mismatch","mismatch"
"smooth","smooth, smoothing"
"charact","character, characters"
"strip",""
"contigu","contiguous"
"hour","hour, hours"
"anorexia","anorexia"
"antagonist","antagonist"
"appetit","appetitive"
"menstrual","menstrual"
"serotonin","serotonin"
"trait","trait, traits"
"generaliz","generalizability"
"feasibl","feasibility, feasible"
"irregular","irregular"
"addict","addicted, addiction, addictive, addicts"
"nicotin","nicotine"
"smoker","smokers"
"creation","creation"
"forget","forgetting"
"document","documented"
"recenc","recency"
"pmv","pmv"
"pragmat","pragmatic"
"inventori","inventory"
"subscal","subscale"
"height","height"
"built","built"
"inspect","inspection"
"aggreg",""
"composition","compositiones"
"morphometr","morphometric"
"technic","technical"
"ascend","ascending"
"dement","demented"
"descend","descending"
"aberr","aberrant"
"presurg","presurgical"
"vbm","vbm"
"mini","mini"
"proxi","proxy"
"tail","tail"
"uncorrect","uncorrected"
"cholinerg","cholinergic"
"deterior","deterioration"
"inhibitor","inhibitor, inhibitors"
"melod","melodic"
"ltm","ltm"
"attitud","attitude, attitudes"
"insight","insight, insights"
"unfold",""
"unravel","unravel"
"summar",""
"suppli",""
"insid","inside"
"schedul",""
"augment","augmented"
"graphem","grapheme"
"learnt","learnt"
"pcc","pcc"
"vacc","vacc"
"societi","societies, society"
"methylphenid","methylphenidate"
"pharmacolog","pharmacological"
"corticostriat","corticostriatal"
"anomal","anomalous"
"hypo","hypo"
"ineffici","inefficiency, inefficient"
"phenomena","phenomena"
"actor","actor, actors"
"german","german"
"suitabl","suitable"
"erron","erroneous"
"movi","movie, movies"
"referenti","referential"
"suppos","supposed"
"chunk",""
"easier","easier"
"intervent","intervention, interventions"
"neurodevelop","neurodevelopment"
"exclud","exclude, excluded"
"idiopath","idiopathic"
"anxious","anxious"
"blank",""
"counterbalanc","counterbalanced"
"mpfc","mpfc"
"regressor","regressor, regressors"
"psychiatri","psychiatry"
"electromyograph",""
"anti","anti"
"bimanu","bimanual"
"sophist","sophisticated"
"modest","modest"
"conceiv",""
"illus","illusion, illusions"
"vibrat","vibration"
"wrist","wrist"
"buffer","buffer"
"inconsist","inconsistencies, inconsistent"
"insert",""
"version","versions"
"incent","incentive, incentives"
"introspect",""
"agenc","agency"
"postmortem","postmortem"
"pyramid","pyramidal"
"london","london"
"cbt","cbt"
"compuls","compulsive"
"excerpt","excerpts"
"film","film"
"metacognit",""
"obsess","obsessive"
"phobia","phobia"
"psychotherapi","psychotherapy"
"spider","spider"
"topic","topic"
"promis","promise, promising"
"tle","tle"
"drop",""
"influenti","influential"
"walk","walking"
"supramod","supramodal"
"inton","intonation"
"neurobehavior","neurobehavioral"
"orofaci","orofacial"
"syllab","syllabic"
"composit","composite"
"disorgan",""
"hit","hit, hits"
"intracort","intracortical"
"pivot","pivotal"
"trail","trail"
"prerequisit","prerequisite"
"check",""
"nonparametr","nonparametric"
"ocd","ocd"
"scenario","scenario, scenarios"
"threaten","threatening"
"unexplor","unexplored"
"vlpfc","vlpfc"
"analog","analog, analogous"
"meet","meet, meeting"
"minimum","minimum"
"hypnot",""
"interfac","interface"
"mislead","misleading"
"shed","shed"
"uncov","uncover, uncovered"
"univers","universal, university"
"pallidum","pallidum"
"stepwis","stepwise"
"defens",""
"vowel","vowel, vowels"
"grow","growing"
"leav","leaving"
"themat","thematic"
"intraven","intravenous"
"necess","necessity"
"algebra",""
"spars","sparse"
"unimanu","unimanual"
"quadrant",""
"lexico","lexico"
"sem","sem"
"empath","empathic, empathizing"
"empathi","empathy"
"csf","csf"
"endophenotyp","endophenotype, endophenotypes"
"relatives","relativeses"
"emg","emg"
"apraxia","apraxia"
"asynchroni","asynchrony"
"ppi","ppi"
"startl","startle"
"striato","striato"
"lifg","lifg"
"thalamo","thalamo"
"unsuccess","unsuccessful"
"smc","smc"
"somatomotor","somatomotor"
"anger","anger"
"metaphor","metaphor, metaphoric, metaphors"
"criterion","criterion"
"master",""
"option","option, options"
"tempera","temperament"
"incomplet","incomplete, incompletely"
"rehabilit","rehabilitation"
"bowel","bowel"
"hyperalgesia","hyperalgesia"
"irrit","irritable"
"viscer","visceral"
"preclud",""
"hot",""
"norm","norm, norms"
"waveform",""
"nonspeech","nonspeech"
"steadi","steady"
"indistinguish","indistinguishable"
"wider","wider"
"homogen","homogeneity, homogeneous"
"poorer","poorer"
"born","born"
"usag","usage"
"alpha","alpha"
"micro","micro"
"expert","expert, experts"
"expertis","expertise"
"corticospin","corticospinal"
"disinhibit","disinhibition"
"excitatori","excitatory"
"interindividu","interindividual"
"pulvinar","pulvinar"
"mechanist","mechanistic"
"thalamocort","thalamocortical"
"outpati","outpatients"
"blunt","blunted"
"cardiovascular","cardiovascular"
"amnest","amnestic"
"criteria","criteria"
"fulfil",""
"mci","mci"
"experienti","experiential"
"focuss",""
"decept","deception, deceptive"
"fit","fit, fits, fitting"
"tell","telling"
"truth","truth"
"neuropsychiatr","neuropsychiatric"
"congruenc","congruence, congruency"
"multisensori","multisensory"
"singular","singular"
"synthesi","synthesis"
"margin","marginal, marginally"
"subthalam","subthalamic"
"vwfa","vwfa"
"meta","meta"
"superimpos","superimposed"
"fdg","fdg"
"tracer","tracer"
"midcingul","midcingulate"
"cyclic",""
"unitari","unitary"
"unspecif","unspecific"
"box",""
"compart",""
"matric","matrices"
"radiata","radiata"
"interocept","interoception, interoceptive"
"nonsens","nonsense"
"transvers","transverse"
"neglig",""
"vascular","vascular"
"reserv","reserve, reserved"
"slope","slope"
"symptomatolog","symptomatology"
"occipitopariet","occipitoparietal"
"hander","handers"
"money","money"
"wealth","wealth"
"cap",""
"solut","solution, solutions"
"confront","confronted"
"tie","tied"
"encephalopathi","encephalopathy"
"theta","theta"
"peduncl","peduncle"
"hybrid","hybrid"
"fef","fef"
"calori","calorie"
"cultur","cultural, culturally, culture, cultures"
"eat","eating"
"obes","obese, obesity"
"contamin","contamination"
"harm","harm"
"interrel","interrelated"
"neurotic","neuroticism"
"riski","risky"
"safe","safe"
"alcohol","alcohol, alcoholics"
"provok","provoked"
"ordinari","ordinary"
"circumst","circumstances"
"gambl","gambling"
"tpj","tpj"
"mtg","mtg"
"necessit",""
"infanc","infancy"
"cingulo","cingulo"
"morph","morphed"
"neurocircuitri","neurocircuitry"
"unattend","unattended"
"synthet","synthetic"
"nonword","nonword, nonwords"
"comprehend","comprehend"
"ignor","ignore, ignored, ignoring"
"popular","popular"
"style","style, styles"
"western",""
"enlarg","enlargement"
"finit","finite"
"nondement","nondemented"
"ventricl",""
"evoc",""
"width","width"
"hyper","hyper"
"pervas","pervasive"
"prone","prone, proneness"
"dat","dat"
"decomposition","decompositiones"
"hedon","hedonic"
"desir","desirable, desire, desired, desires"
"cardin","cardinal"
"beat","beat"
"tegment","tegmental"
"entiti","entities, entity"
"ensur","ensure"
"nigra","nigra"
"commiss","commission"
"tonic","tonic"
"globus","globus"
"pallidus","pallidus"
"hypothesis","hypothesised"
"will",""
"heighten","heightened"
"mixtur","mixture"
"bayesian","bayesian"
"null","null"
"overcom","overcome"
"stutter","stuttering"
"utter","utterances"
"perturb","perturbation, perturbations"
"soft","soft"
"belief","belief, beliefs"
"debilit","debilitating"
"complement","complement, complements"
"black","black"
"amyotroph","amyotrophic"
"eventu",""
"analyt","analytic, analytical"
"deploy","deployment"
"contemporari","contemporary"
"warrant","warranted"
"substanc","substance"
"survivor","survivors"
"clip","clips"
"involuntari","involuntary"
"parietotempor","parietotemporal"
"retest","retest"
"symmetri","symmetry"
"borderlin","borderline"
"bpd","bpd"
"interperson","interpersonal"
"innerv",""
"night","night"
"caucasian","caucasian"
"humor",""
"dti","dti"
"microstructur","microstructural, microstructure"
"mfg","mfg"
"lifetim","lifetime"
"extravers","extraversion"
"pls","pls"
"foreign","foreign"
"temporarili","temporarily"
"kinesthet","kinesthetic"
"relief","relief"
"supplement","supplemental"
"cigarett","cigarette"
"smoke","smoking"
"ventricular","ventricular"
"brought","brought"
"contradictori","contradictory"
"hyperactiv","hyperactivation"
"hypoactiv","hypoactivation"
"reconcil","reconcile"
"inflect",""
"narrow","narrow"
"carrier","carrier, carriers"
"coars","coarse"
"deplet","depletion"
"assembl",""
"closer","closer"
"suprathreshold","suprathreshold"
"mni","mni"
"downstream","downstream"
"accommod",""
"tri","tried"
"phasic","phasic"
"reorient","reorienting"
"sublimin","subliminal"
"bound","bound"
"car","car"
"vital","vital"
"partit",""
"volumetri","volumetry"
"interview","interview"
"noisi","noisy"
"ica","ica"
"scheme","scheme, schemes"
"ventro","ventro"
"command","command, commands"
"mimic","mimic"
"mous","mouse"
"upregul",""
"youth","youth, youths"
"stochast","stochastic"
"agent","agent, agents"
"moral","moral"
"unfair","unfair"
"monolingu","monolinguals"
"gait","gait"
"discoveri","discovery"
"stand","standing"
"warp",""
"asynchron","asynchronous"
"accomplish","accomplished"
"nacc","nacc"
"related","relatedness"
"mania","mania"
"psts","psts"
"assist","assist"
"intersubject","intersubject"
"aggress","aggression, aggressive"
"delet","deletion"
"evolutionari","evolutionary"
"friend","friend, friends"
"love","love"
"oxytocin","oxytocin"
"sublex","sublexical"
"denot",""
"icon","iconic"
"idiosyncrat",""
"pantomim",""
"euthym","euthymic"
"mdd","mdd"
"degen","degenerative"
"collater",""
"extant","extant"
"alarm",""
"ipl","ipl"
"hyperintens",""
"disposition","dispositiones"
"freedom","freedom"
"over",""
"predefin","predefined"
"illumin",""
"piano","piano"
"degrad","degradation, degraded"
"subthreshold","subthreshold"
"supra","supra"
"auditorili","auditorily"
"maze",""
"temperatur","temperature"
"pars",""
"athlet",""
"posteromedi","posteromedial"
"sententi","sentential"
"incom","incoming"
"vmpfc","vmpfc"
"oscillatori","oscillatory"
"counteract",""
"deleteri","deleterious"
"detriment","detrimental"
"concord","concordance, concordant"
"reho","reho"
"passag",""
"tic",""
"tourett","tourette"
"inconclus","inconclusive"
"vivid","vivid, vividness"
"certainti","certainty"
"conform",""
"birth","birth"
"blindfold","blindfolded"
"ball","ball"
"pag","pag"
"facilitatori","facilitatory"
"discord","discordant"
"monozygot","monozygotic"
"twin","twin, twins"
"vast",""
"exchang","exchange"
"manic","manic"
"hepat","hepatic"
"asd","asd, asds"
"soa","soa"
"sham","sham"
"foster",""
"pianist","pianists"
"ifc","ifc"
"neuropath","neuropathic"
"accentu",""
"con","con"
"dacc","dacc"
"pmd","pmd"
"preterm","preterm"
"complaint","complaints"
"impress","impression"
"huntington","huntington"
"ingest",""
"endur","enduring"
"quotient","quotient"
"dichotomi","dichotomy"
"inferenti","inferential"
"gaussian","gaussian"
"stranger",""
"ultimatum","ultimatum"
"antisaccad","antisaccade"
"socio","socio"
"univari","univariate"
"uncin","uncinate"
"ankl",""
"locomotor","locomotor"
"supraspin","supraspinal"
"fibromyalgia","fibromyalgia"
"quantif","quantification"
"cumul",""
"novic","novice, novices"
"onlin","online"
"millisecond",""
"consensus","consensus"
"schema","schema"
"methyl",""
"unimpair","unimpaired"
"ensu","ensuing"
"death","death"
"mortem","mortem"
"countri","countries"
"dysconnect",""
"root",""
"audit","audition"
"hypothet","hypothetical"
"prescrib",""
"confer",""
"repertoir","repertoire"
"cerebro","cerebro"
"propag",""
"hypothalam","hypothalamic"
"mns","mns"
"amci","amci"
"font","font"
"increment",""
"expens",""
"servic","service"
"imposs","impossible"
"fsl","fsl"
"crave","craving"
"ideal","ideal"
"glm","glm"
"outperform",""
"sensor",""
"chose","chose"
"cannabi","cannabis"
"heavi","heavy"
"marijuana","marijuana"
"splenium","splenium"
"pregenu","pregenual"
"vector","vector"
"deliber",""
"ecolog","ecological, ecologically"
"beta","beta"
"precursor","precursor"
"stn","stn"
"paid","paid"
"hypersensit",""
"neurodegener","neurodegeneration"
"ale","ale"
"ifj","ifj"
"intim","intimate"
"nonmusician","nonmusicians"
"wechsler","wechsler"
"polymorph","polymorphism, polymorphisms"
"transport","transporter"
"omiss","omission"
"toolbox","toolbox"
"capit",""
"invest",""
"parent","parent, parental, parents"
"trustworthi","trustworthiness"
"alexithymia","alexithymia"
"breakdown",""
"seed","seed, seeded, seeds"
"locomot","locomotion"
"sing","singing"
"imbal","imbalance"
"laden","laden"
"candid","candidate, candidates"
"testosteron","testosterone"
"econom","economic"
"imageability","imageabilityability"
"sfg","sfg"
"unisensori","unisensory"
"problemat","problematic"
"robot",""
"inpati",""
"ensembl",""
"decoupl","decoupling"
"commit","committed"
"exercis","exercise"
"heroin","heroin"
"pursu",""
"mapp","mapp"
"messag","message"
"strengthen","strengthen, strengthened, strengthening"
"latent","latent"
"reuptak","reuptake"
"analgesia","analgesia"
"tandem","tandem"
"opioid","opioid"
"psychomotor","psychomotor"
"ppa","ppa"
"arcuat","arcuate"
"anticorrel","anticorrelated"
"regulatori","regulatory"
"peer","peer, peers"
"amelior",""
"creativ","creative, creativity"
"medium","medium"
"nonsoci","nonsocial"
"racc","racc"
"nucleotid","nucleotide"
"rostrolater","rostrolateral"
"fcmri","fcmri"
"vta","vta"
"satieti","satiety"
"instantan",""
"anhedonia","anhedonia"
"nonetheless","nonetheless"
"dmpfc","dmpfc"
"mobil",""
"estradiol","estradiol"
"legal","legal"
"overweight","overweight"
"aesthet",""
"beauti",""
"subcallos","subcallosal"
"unchang","unchanged"
"wait",""
"fdr","fdr"
"smri","smri"
"mfc","mfc"
"tom","tom"
"scarc","scarce"
"nation",""
"endocrin","endocrine"
"growth","growth"
"nonvisu","nonvisual"
"unabl","unable"
"dwell",""
"geriatr","geriatric"
"contributor","contributor"
"maladapt","maladaptive"
"thin","thinning"
"host",""
"antisoci","antisocial"
"phrase","phrase, phrases"
"underactiv","underactivation"
"song",""
"transpar",""
"burst","burst, bursts"
"pca","pca"
"lpfc","lpfc"
"mofc","mofc"
"edg",""
"hypometabol","hypometabolism"
"neurotroph","neurotrophic"
"rsn","rsn"
"rsns","rsns"
"dcm","dcm"
"request","requested"
"tinnitus","tinnitus"
"normat","normative"
"catechol","catechol"
"comt","comt"
"val","val"
"valmet","valmet"
"front","front"
"ataxia","ataxia"
"intranas",""
"trust","trust"
"neurofeedback","neurofeedback"
"downregul","downregulation"
"learner","learners"
"multidimension","multidimensional"
"needl",""
"joy","joy"
"violenc","violence"
"apolipoprotein","apolipoprotein"
"race","race"
"neuromodul",""
"cautious",""
"machin","machine"
"layer",""
"bidirect","bidirectional"
"hypertens","hypertension"
"tryptophan","tryptophan"
"urg","urge"
"bmi","bmi"
"lean","lean"
"trade","trade"
"hrf","hrf"
"transmit",""
"art","art"
"pituitari","pituitary"
"salivari","salivary"
"follicular","follicular"
"luteal","luteal"
"referenc",""
"extrins","extrinsic"
"corona","corona"
"thorough",""
"lobar","lobar"
"affili",""
"holist","holistic"
"prodrom","prodromal"
"habit",""
"reapprais","reappraisal"
"gestat",""
"fornix","fornix"
"homozygot","homozygotes"
"methyltransferas","methyltransferase"
"occlud","occluded"
"biomark","biomarker, biomarkers"
"snp","snp"
"drd","drd"
"freesurf","freesurfer"
"inadequ",""
"discount","discounting"
"proactiv","proactive"
"contradict",""
"deeper","deeper"
"beamform","beamformer"
"amcc","amcc"
"mcc","mcc"
"protagonist",""
"pearson","pearson"
"ownership","ownership"
"lifespan","lifespan"
"satisfact","satisfaction"
"bring",""
"psychosoci","psychosocial"
"convert",""
"mesocorticolimb","mesocorticolimbic"
"fwe","fwe"
"neurotyp","neurotypical"
"pmtg","pmtg"
"inflamm","inflammation"
"tdcs","tdcs"
"bdnf","bdnf"
"stressor","stressor"
"cancel",""
"pleas","please"
"httlpr","httlpr"
"proof","proof"
"medit","meditation, meditators"
"like",""
"graph","graph"
"resili","resilience"
"norepinephrin","norepinephrine"
"avenu",""
"sport",""
"svm","svm"
"tbss","tbss"
"dilat",""
"philosoph",""
"entropi","entropy"
"intuit","intuitive"
"multivoxel","multivoxel"
"homeostasi","homeostasis"
"priorit",""
"granger","granger"
"atl","atl"
"subsampl",""
"amyloid","amyloid"
"caregiv",""
"genom","genome"
"valuat","valuation"
"intertempor","intertemporal"
"gmv","gmv"
"remiss","remission"
"dmn","dmn"
"diet",""
"clinician",""
"sloreta","sloreta"
"srl","srl"
"premis",""
"hcs","hcs"
"dan","dan"
"hub","hub, hubs"
"alff","alff"
"serum","serum"
"crown","crown"
"subclin","subclinical"
"falff","falff"
"ecnp","ecnp"
"mvpa","mvpa"
"rsfc","rsfc"
"searchlight","searchlight"
"visit",""
